feature,target_correlation,absolute_target_correlation,mutual_information,random_forest_importance,target_correlation_rank,mutual_information_rank,random_forest_rank,mean_rank,consensus_position
Fwd Packet Length Min,-0.09038711514067327,0.09038711514067327,0.020580862433291713,0.0037229777319134575,18.0,56.0,55.0,43.0,47
Subflow Bwd Packets,-0.008712183986557126,0.008712183986557126,0.16393727742067088,0.013251449905945782,61.5,36.0,34.0,43.833333333333336,48
Idle Mean,-0.05064434060816032,0.05064434060816032,0.05842572841008886,0.004922377740141989,35.0,48.0,50.0,44.333333333333336,49
Flow IAT Std,-0.0034764293477315003,0.0034764293477315003,0.1749089730389548,0.01169204971465809,65.0,30.0,40.0,45.0,50
Idle Min,-0.05545873711840698,0.05545873711840698,0.056120698458302254,0.003784539059104066,34.0,49.0,54.0,45.666666666666664,51
Total Backward Packets,-0.008712183986557126,0.008712183986557126,0.16564516814555685,0.011631119945116918,61.5,35.0,41.0,45.833333333333336,52
Idle Max,-0.04023561818106744,0.04023561818106744,0.06543785969698224,0.004880337772609901,41.0,47.0,51.0,46.333333333333336,53
Fwd Act Data Packets,0.02701253669933027,0.02701253669933027,0.07545988461897735,0.007776649954163932,47.0,45.0,47.0,46.333333333333336,54
Down/Up Ratio,0.09534660056770375,0.09534660056770375,0.013348008924934263,0.0008474891065587064,16.0,60.0,63.0,46.333333333333336,55
Bwd IAT Std,-0.001377976350764772,0.001377976350764772,0.13195201343817464,0.014384842333013072,67.0,43.0,30.0,46.666666666666664,56
Bwd IAT Max,2.7463988588289336e-05,2.7463988588289336e-05,0.15822010622159155,0.008399015123693511,69.0,37.0,46.0,50.666666666666664,57
Idle Std,0.04138598789056615,0.04138598789056615,0.012646624878757784,0.0017443159584851332,38.0,61.0,61.0,53.333333333333336,58
ACK Flag Count,0.03406653130694678,0.03406653130694678,0.003870031177997557,0.0036834331517856325,43.0,63.0,56.0,54.0,59
Active Min,0.011532153946108627,0.011532153946108627,0.023241120240329316,0.0039814943899697764,59.0,54.0,52.0,55.0,60
Fwd PSH Flags,-0.04114028176592901,0.04114028176592901,0.0020472683312064976,0.0003237878312398233,39.5,65.0,65.0,56.5,61
Active Mean,0.010245943646837945,0.010245943646837945,0.024022116203979538,0.003536985545753628,60.0,53.0,57.0,56.666666666666664,62
Active Max,0.002295012496575203,0.002295012496575203,0.024395026318024593,0.00392831774722427,66.0,52.0,53.0,57.0,63
SYN Flag Count,-0.04114028176592901,0.04114028176592901,0.0,0.00021444419166084534,39.5,68.5,66.0,58.0,64
URG Flag Count,-0.013054162280615945,0.013054162280615945,0.002849925782008489,0.000819025276202335,54.0,64.0,64.0,60.666666666666664,65
Fwd URG Flags,0.02366341094161095,0.02366341094161095,0.0019088507606097593,2.7765144265384655e-05,50.5,66.0,69.0,61.833333333333336,66
CWE Flag Count,0.02366341094161095,0.02366341094161095,0.0003463746304610549,2.8451839887563753e-05,50.5,67.0,68.0,61.833333333333336,67
Active Std,-0.0010109969900850488,0.0010109969900850488,0.007856741171996307,0.0013279724829156866,68.0,62.0,62.0,64.0,68
FIN Flag Count,-0.004262211599938847,0.004262211599938847,0.0,0.0001430995136260817,63.0,68.5,67.0,66.16666666666667,69
