metric,value
Accuracy,0.9800376452710288
Malicious Precision,0.9791854225935396
Malicious Recall,0.9196332274853912
Malicious F1-score,0.9484754644145836
ROC-AUC,0.9882080536531404
Average Precision,0.9746388268807544
